Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	ValidationCER
		100	100		142.721
		200	200		120.334
		300	300		112.958
		400	400		109.458
		500	500		107.545
		600	600		106.215
		699	700		105.335
		799	800		104.632
		899	900		104.104
		999	1000		103.685
		1099	1100		99.398
		1199	1200		99.531
		1299	1300		99.614
		1399	1400		99.551
		1499	1500		99.375
		1599	1600		99.139
		1699	1700		98.815
		1799	1800		98.422
		1899	1900		98.027
		1999	2000		97.574
		2099	2100		96.907
		2199	2200		96.2
		2299	2300		95.5
		2399	2400		94.771
		2499	2500		94.009
		2599	2600		93.316
		2699	2700		92.66
		2799	2800		91.844
		2899	2900		90.883
		2999	3000		89.969
		3099	3100		89.165
		3199	3200		88.313
		3299	3300		87.4
		3399	3400		86.618
		3499	3500		85.454
		3599	3600		84.357
		3699	3700		82.776
		3799	3800		81.53
		3899	3900		80.069
		3999	4000		78.339
		4099	4100		76.273
		4199	4200		74.352
		4299	4300		72.488
		4399	4400		70.03
		4499	4500		67.873
		4599	4600		65.456
		4699	4700		63.396
		4799	4800		61.11
		4899	4900		58.611
		4999	5000		56.59
		5099	5100		54.453
		5199	5200		52.487
		5299	5300		50.166
		5399	5400		48.379
		5499	5500		46.562
		5599	5600		45.112
		5699	5700		43.481
		5799	5800		41.903
		5899	5900		40.779
		5999	6000		39.203
		6099	6100		38.097
		6199	6200		36.559
		6299	6300		35.338
		6399	6400		34.589
		6499	6500		33.465
		6598	6600		32.334
		6698	6700		31.208
		6798	6800		30.187
		6898	6900		29.158
		6998	7000		28.341
		7097	7100		27.625
		7197	7200		27.046
		7297	7300		26.485
		7397	7400		25.623
		7496	7500		25.368
		7596	7600		24.925
		7696	7700		24.757
		7795	7800		24.177
		7893	7900		23.486
		7993	8000		23.059
		8091	8100		22.453
		8189	8200		22.316
		8289	8300		22.232
		8389	8400		22.002
		8487	8500		21.297
		8586	8600		20.623
		8682	8700		20.048
		8781	8800		20.017
		8881	8900		20.375
		8980	9000		20.21
		9078	9100		20.348
		9175	9200		20.064
		9272	9300		19.973
		9370	9400		19.747
		9469	9500		19.726
		9567	9600		19.813
		9664	9700		19.578
		9761	9800		19.408
		9858	9900		18.709
		9956	10000		18.765
		10055	10100		18.419
		10151	10200		18.112
		10250	10300		17.884
		10349	10400		17.783
		10445	10500		17.675
		10541	10600		17.384
		10640	10700		17.209
		10738	10800		17.031
		10837	10900		17.019
		10934	11000		16.611
		11032	11100		16.507
		11132	11200		16.547
		11230	11300		16.164
		11329	11400		15.991
		11428	11500		15.935
		11526	11600		15.767
		11624	11700		15.815
		11719	11800		15.411
		11817	11900		15.764
		11914	12000		15.73
		12011	12100		15.563
		12106	12200		15.322
		12204	12300		15.19
		12302	12400		15.035
		12398	12500		14.741
		12492	12600		14.612
		12587	12700		14.315
		12680	12800		14.466
		12778	12900		14.215
		12871	13000		13.772
		12969	13100		13.995
		13064	13200		13.767
		13162	13300		13.688
		13255	13400		13.377
		13348	13500		13.48
		13439	13600		13.323
		13534	13700		13.632
		13629	13800		13.515
		13723	13900		12.964
		13818	14000		13.271
		13909	14100		12.765
		14003	14200		12.843
		14095	14300		12.625
		14185	14400		12.673
		14281	14500		12.651
		14373	14600		12.542
		14466	14700		12.451
		14560	14800		12.472
		14656	14900		12.867
		14748	15000		12.551
		14836	15100		12.572
		14925	15200		12.385
		15016	15300		12.493
		15107	15400		12.184
		15194	15500		11.813
		15284	15600		12.096
		15376	15700		11.777
