Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	ValidationCER
		15865	19200		5.91	
		15941	19300		5.947	
		16016	19400		5.893	
		16091	19500		5.73	
		16162	19600		5.865	
		16233	19700		5.892	
		16308	19800		6.004	
		16377	19900		6.156	
		16458	20000		6.339	
		16533	20100		6.224	
		16610	20200		6.493	
		16688	20300		6.519	
		16755	20400		6.501	
		16824	20500		6.641	
		16894	20600		6.526	
		16964	20700		6.578	
		17031	20800		6.402	
		17097	20900		6.295	
		17174	21000		6.228	
		17248	21100		6.246	
		17324	21200		6.373	
		17401	21300		6.219	
		17470	21400		6.17	
		17546	21500		6.036	
		17627	21600		6.135	
		17697	21700		5.976	
		17771	21800		5.978	
		17839	21900		5.865	
		17908	22000		5.75	
		17979	22100		5.901	
		18044	22200		5.425	
		18122	22300		5.609	
		18192	22400		5.547	
		18263	22500		5.606	
		18322	22600		5.432	
		18398	22700		5.557	
		18473	22800		5.551	
		18548	22900		5.699	
		18621	23000		5.679	
		18695	23100		5.673	
		18770	23200		5.748	
		18849	23300		5.73	
		18921	23400		5.909	
		18995	23500		5.911	
		19067	23600		5.993	
		19134	23700		5.912	
		19208	23800		6.1	
		19273	23900		5.906	
		19339	24000		5.898	
		19413	24100		5.838	
		19490	24200		5.938	
		19563	24300		5.935	
		19636	24400		5.88	
		19699	24500		5.999	
		19772	24600		6.095	
		19844	24700		6.126	
		19900	24800		5.849	
		19970	24900		5.957	
		20037	25000		5.955	
		20108	25100		5.913	
		20182	25200		5.958	
		20256	25300		5.839	
		20329	25400		5.732	
		20407	25500		5.644	
		20480	25600		5.585	
		20553	25700		5.59	
		20623	25800		5.735	
		20687	25900		5.614	
		20758	26000		5.679	
		20829	26100		5.682	
		20896	26200		5.518	
		20965	26300		5.508	
		21035	26400		5.559	
		21108	26500		5.509	
		21178	26600		5.454	
		21242	26700		5.359	
		21321	26800		5.47	
		21384	26900		5.544	
		21457	27000		5.497	
		21527	27100		5.396	
		21590	27200		5.483	
		21664	27300		5.533	
		21735	27400		5.453	
		21804	27500		5.35	
		21871	27600		5.302	
		21939	27700		5.447	
		22012	27800		5.273	
		22073	27900		5.193	
		22138	28000		5.155	
		22207	28100		5.264	
		22277	28200		5.28	
		22348	28300		5.132	
		22421	28400		5.217	
		22492	28500		5.38	
		22567	28600		5.52	
		22634	28700		5.457	
		22700	28800		5.471	
		22766	28900		5.507	
		22837	29000		5.609	
		22906	29100		5.523	
		22970	29200		5.366	
		23037	29300		5.396	
		23098	29400		5.313	
		23163	29500		5.149	
		23242	29600		5.077	
		23311	29700		4.985	
		23376	29800		4.897	
		23440	29900		5.025	
		23504	30000		4.851	
		23577	30100		4.889	
		23635	30200		5.052	
		23711	30300		5.16	
		23777	30400		5.213	
		23855	30500		5.371	
		23921	30600		5.322	
		23988	30700		5.398	
		24058	30800		5.641	
		24125	30900		5.672	
		24185	31000		5.683	
		24239	31100		5.692	
		24309	31200		5.655	
		24367	31300		5.444	
		24434	31400		5.422	
		24499	31500		5.304	
		24567	31600		5.373	
		24641	31700		5.447	
		24717	31800		5.338	
		24789	31900		5.186	
		24857	32000		5.141	
		24924	32100		5.08	
		24993	32200		5.038	
		25064	32300		5.061	
		25124	32400		5.006	
		25178	32500		4.896	
		25243	32600		4.904	
		25307	32700		4.786	
		25376	32800		4.756	
		25450	32900		4.797	
		25521	33000		4.855	
		25580	33100		4.892	
		25642	33200		4.906	
		25719	33300		5.008	
		25784	33400		5.086	
		25855	33500		5.224	
		25927	33600		5.269	
		25996	33700		5.25	
		26059	33800		5.164	
		26133	33900		5.279	
		26193	34000		5.257	
		26265	34100		5.216	
		26329	34200		5.191	
		26396	34300		5.188	
		26459	34400		5.174	
		26518	34500		5.043	
		26581	34600		5.007	
		26662	34700		5.102	
		26730	34800		5.153	
		26806	34900		5.061	
		26872	35000		5.205	
		26938	35100		5.434	
		27011	35200		5.486	
		27067	35300		5.376	
		27129	35400		5.322	
		27185	35500		5.334	
		27251	35600		5.296	
		27319	35700		5.231	
		27392	35800		5.202	
		27465	35900		5.081	
		27539	36000		5.034	
		27602	36100		4.866	
		27664	36200		4.809	
		27716	36300		4.895	
		27778	36400		4.811	
		27846	36500		4.954	
		27916	36600		4.906	
		27974	36700		4.831	
		28037	36800		4.906	
		28094	36900		4.93	
		28159	37000		4.899	
		28219	37100		4.843	
		28289	37200		4.861	
		28353	37300		4.902	
		28420	37400		5.046	
		28473	37500		4.961	
		28542	37600		4.836	
		28601	37700		4.802	
		28666	37800		4.821	
		28730	37900		4.854	
		28792	38000		4.745	
		28844	38100		4.647	
		28906	38200		4.701	
		28972	38300		4.57	
		29034	38400		4.47	
		29090	38500		4.497	
		29150	38600		4.601	
		29213	38700		4.827	
		29279	38800		4.667	
		29346	38900		4.692	
		29411	39000		4.808	
		29483	39100		5.001	
		29542	39200		4.83	
		29611	39300		5.06	
sanPlusMinus	59.371	100	100			
sanPlusMinus	46.221	200	200			
sanPlusMinus	38.643	300	300			
sanPlusMinus	33.477	399	400			
sanPlusMinus	30.374	499	500			
sanPlusMinus	27.718	596	600			
sanPlusMinus	25.687	694	700			
sanPlusMinus	24.152	791	800			
sanPlusMinus	22.84	888	900			
sanPlusMinus	21.955	985	1000			
sanPlusMinus	17.261	1082	1100			
sanPlusMinus	15.237	1179	1200			
sanPlusMinus	14.041	1273	1300			
sanPlusMinus	13.343	1371	1400			
sanPlusMinus	12.591	1465	1500			
sanPlusMinus	12.086	1653	1700			
sanPlusMinus	11.49	1931	2000			
sanPlusMinus	11.107	2478	2600			
sanPlusMinus	10.65	2747	2900			
sanPlusMinus	9.853	3920	4200			
sanPlusMinus	9.322	4190	4500			
sanPlusMinus	8.824	4699	5100			
sanPlusMinus	8.477	5998	6600			
sanPlusMinus	8.015	6170	6800			
sanPlusMinus	7.746	6588	7300			
sanPlusMinus	7.472	7745	8700			
sanPlusMinus	7.217	9870	11300			
sanPlusMinus	6.83	10184	11700			
sanPlusMinus	6.508	12741	15000			
sanPlusMinus	6.236	14463	17300			
sanPlusMinus	5.91	15865	19200			
sanPlusMinus	5.425	18044	22200			
sanPlusMinus	5.193	22073	27900			
sanPlusMinus	4.985	23311	29700			
sanPlusMinus	4.786	25307	32700			
sanPlusMinus	4.57	28972	38300			
		8813		7.0133874		
		10503		7.0977469		
		11517		6.762363		
		11839		6.6709364		
		12068		6.7098006		
		13261		6.6840859		
		16091		6.5200398		
		17097		6.0219354		
		17324		6.1211044		
		18044		5.742721		
		19208		6.3473688		
		19844		5.9683806		
		23504		5.8927784		
		24641		5.5972942		
		25376		5.8646054		
		26396		5.6291509		
Filename : data/sanPlusMinus/tessdata_fast/sanPlusMinus	4.57	28972	38300			6.5270329
Filename : data/sanPlusMinus/tessdata_fast/sanPlusMinus	4.786	25307	32700			7.0528426
Filename : data/sanPlusMinus/tessdata_fast/sanPlusMinus	4.985	23311	29700			6.6102182
Filename : data/sanPlusMinus/tessdata_fast/sanPlusMinus	5.193	22073	27900			6.836905
Filename : data/sanPlusMinus/tessdata_fast/sanPlusMinus	5.425	18044	22200			6.6659165
Filename : data/sanPlusMinus/tessdata_fast/sanPlusMinus	5.91	15865	19200			6.9538929
Filename : data/sanPlusMinus/tessdata_fast/sanPlusMinus	6.236	14463	17300			6.8723418
Filename : data/sanPlusMinus/tessdata_fast/sanPlusMinus	6.508	12741	15000			7.6643838
Filename : data/sanPlusMinus/tessdata_fast/sanPlusMinus	6.83	10184	11700			8.2307366
Filename : data/sanPlusMinus/tessdata_fast/sanPlusMinus	7.217	9870	11300			7.4463728
Filename : data/sanPlusMinus/tessdata_fast/sanPlusMinus	7.472	7745	8700			8.1555038
Filename : data/sanPlusMinus/tessdata_fast/sanPlusMinus	7.746	6588	7300			8.6326812
Filename : data/sanPlusMinus/tessdata_fast/sanPlusMinus	8.015	6170	6800			8.3595493
Filename : data/sanPlusMinus/tessdata_fast/sanPlusMinus	8.477	5998	6600			8.8196869
Filename : data/sanPlusMinus/tessdata_fast/sanPlusMinus	8.824	4699	5100			9.3595662
Filename : data/sanPlusMinus/tessdata_fast/sanPlusMinus	9.322	4190	4500			9.3905436
Filename : data/sanPlusMinus/tessdata_fast/sanPlusMinus	9.853	3920	4200			9.4372473
